[Nov-15-2023 00:36:07]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'CuponsCount'..
[Nov-15-2023 00:36:45]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: The multi-part identifier "Asistencia_FechaxTurno.idasistenciaturno" could not be bound..
[Nov-15-2023 00:37:05]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'CuponsCount'..
[Nov-15-2023 00:38:02]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'CuponsCount'..
[Nov-15-2023 00:38:29]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You must use the 'as' keyword to specify the alias within your include statement..
[Nov-15-2023 00:38:40]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'CuponsCount'..
[Nov-15-2023 00:38:42]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'CuponsCount'..
[Nov-15-2023 00:39:18]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid object name 'registros'..
[Nov-15-2023 00:39:34]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid object name 'registros'..
[Nov-15-2023 00:39:44]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'CuponsCount'..
[Nov-15-2023 00:40:14]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'laughReactionsCount'..
[Nov-15-2023 00:51:06]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'laughReactionsCount'..
[Nov-15-2023 01:12:08]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'laughReactionsCount'..
[Nov-15-2023 01:43:42]  'error' 500 GET createAsistenciaRegistroPersonal, SequelizeValidationError: notNull Violation: AsistenciaRegistroPersonal.idturno cannot be null.
[Nov-15-2023 01:44:06]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'undefined'..
[Nov-15-2023 01:45:12]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'undefined'..
[Nov-15-2023 01:45:29]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'undefined'..
[Nov-15-2023 01:45:39]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'undefined'..
[Nov-15-2023 01:46:06]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'undefined'..
[Nov-15-2023 01:46:09]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'undefined'..
[Nov-15-2023 02:29:23]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'undefined'..
[Nov-15-2023 02:31:23]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'undefined'..
[Nov-15-2023 02:40:51]  'error' 500 PUT uploadFileAsistenciaFechaTurno, Error: WHERE parameter "id" has invalid "undefined" value.
